Entidade Titular,Área Geográfica,Tipo de Estação,Indicativo de Chamada,Faixas de Frequência,Frequência de Emissão,Frequência de Receção,Canal,Tom de proteção,Local da Estação,Latitude,Longitude
Núcleo de Radioamadores de Coimbra,Portugal Continental,Estação repetidora de modulação analógica,CQ0ULO,"430 - 440 MHz
","438,8500 MHz
","431,2500 MHz
",RU708,"131,8 Hz",IN50VC,"40º 05' 21"" ,710 N","08º 10' 41"" ,930 W"
Núcleo de Radioamadores de Coimbra,Portugal Continental,Estação repetidora de modulação analógica,CQ0VLO,"144 - 146 MHz
","145,7000 MHz
","145,1000 MHz
",RV56,"82,5 Hz",IN50VC,"40º 05' 21"" ,710 N","08º 10' 41"" ,930 W"
Radioamador Clube de Loulé,Portugal Continental,Estação repetidora de modulação analógica,CQ0UML,"430 - 440 MHz
","438,8500 MHz
","431,2500 MHz
",RU708,"131,8 Hz",IM67CC,"37º 06' 05"" ,730 N","07º 49' 50"" ,900 W"
Radioamador Clube de Loulé,Portugal Continental,Estação repetidora de modulação analógica,CQ0VFO,"144 - 146 MHz
","145,6500 MHz
","145,0500 MHz
",RV52,"82,5 Hz",IM57QH,"37º 18' 53"" ,970 N","08º 35' 16"" ,990 W"
Radioamador Clube de Loulé,Portugal Continental,Estação repetidora de modulação analógica,CQ0UFO,"430 - 440 MHz
","438,6750 MHz
","431,0750 MHz
",RU694,"131,8 Hz",IM57QH,"37º 18' 53"" ,970 N","08º 35' 16"" ,990 W"
Radioamador Clube de Loulé,Portugal Continental,Estação repetidora de modulação analógica,CQ0USM,"430 - 440 MHz
","438,7000 MHz
","431,1000 MHz
",RU696,"131,8 Hz",IM67CC,"37º 06' 05"" ,710 N","07º 49' 50"" ,300 W"
Radioamador Clube de Loulé,Portugal Continental,Estação repetidora de modulação analógica,CQ0VFD,"144 - 146 MHz
","145,7625 MHz
","145,1625 MHz
",RV61,"82,5 Hz",IM57QH,"37º 18' 53"" ,970 N","08º 35' 16"" ,990 W"
Radioamador Clube de Loulé,Portugal Continental,Estação repetidora de modulação analógica,CQ0UFL,"430 - 440 MHz
","439,2250 MHz
","431,6250 MHz
",RU738,"131,8 Hz",IM67CC,"37º 06' 05"" ,070 N","07º 49' 50"" ,030 W"
Radioamador Clube de Loulé,Portugal Continental,Estação repetidora de modulação analógica,CQ0UIV,"430 - 440 MHz
","439,2000 MHz
","431,6000 MHz
",RU736,"131,8 Hz",IM57xd,"37º 09' 32"" ,210 N","08º 03' 40"" ,240 W"
Radioamador Clube de Loulé,Portugal Continental,Estação repetidora de modulação analógica,CQ0VSM,"144 - 146 MHz
","145,7250 MHz
","145,1250 MHz
",RV58,"82,5 Hz",IM67CC,"37º 06' 05"" ,710 N","07º 49' 50"" ,300 W"
Radioamador Clube de Loulé,Portugal Continental,Estação repetidora de modulação analógica,CQ0VTA,"144 - 146 MHz
","145,6250 MHz
","145,0250 MHz
",RV50,"82,5 Hz",IM67DF,"37º 14' 38"" ,290 N","07º 44' 18"" ,190 W"
Radioamadores Centro Oeste,Portugal Continental,Estação repetidora de modulação analógica,CQ0UAG,"430 - 440 MHz
","439,2000 MHz
","431,6000 MHz
",RU736,"74,4 Hz",IM59KJ,"39º 24' 41"" ,920 N","09º 07' 06"" ,500 W"
Rede dos Emissores Portugueses,Portugal Continental,Estação repetidora de modulação analógica,CQ0VMST,"144 - 146 MHz
","145,6250 MHz
","145,0250 MHz
",RV50,"74,4 Hz",IM58JR,"38º 43' 57"" ,780 N","09º 11' 22"" ,180 W"
